,gender,age,education,activity_work,educational_level,voted,voted_party,close_party,which_p_close,how_close,placement_l_r,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun
16523,Male,65.0,8.0,6.0,mid_educated,1.0,2.0,1,2.0,2,4.0,5.0,7.0,7.0,4.0,5.0,4.0,5.0
16524,Female,74.0,13.0,6.0,highly_educated,1.0,1.0,1,1.0,2,5.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0
16525,Male,68.0,3.0,6.0,lower_educated,1.0,3.0,2,66.0,6,5.0,3.0,5.0,6.0,3.0,5.0,2.0,5.0
16526,Female,33.0,4.0,1.0,lower_educated,2.0,,2,66.0,6,,5.0,,7.0,,5.0,5.0,
16527,Female,49.0,16.0,1.0,highly_educated,1.0,5.0,2,66.0,6,5.0,6.0,8.0,9.0,4.0,4.0,6.0,7.0
16528,Female,42.0,10.0,,mid_educated,1.0,3.0,2,66.0,6,5.0,5.0,5.0,8.0,5.0,3.0,4.0,5.0
16529,Male,57.0,17.0,1.0,highly_educated,1.0,17.0,1,17.0,2,2.0,1.0,4.0,7.0,1.0,1.0,1.0,6.0
16530,Male,33.0,14.0,1.0,highly_educated,1.0,1.0,2,66.0,6,6.0,6.0,8.0,6.0,5.0,6.0,6.0,5.0
16531,Male,44.0,14.0,1.0,highly_educated,1.0,6.0,1,6.0,2,6.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0
16532,Male,74.0,7.0,6.0,mid_educated,1.0,16.0,1,16.0,2,7.0,5.0,6.0,7.0,3.0,2.0,1.0,5.0
16533,Female,48.0,13.0,1.0,highly_educated,1.0,1.0,2,66.0,6,7.0,6.0,7.0,8.0,6.0,5.0,6.0,7.0
16534,Male,72.0,3.0,6.0,lower_educated,1.0,1.0,2,66.0,6,7.0,6.0,6.0,8.0,6.0,6.0,4.0,6.0
16535,Female,50.0,9.0,1.0,mid_educated,1.0,1.0,1,4.0,2,3.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
16536,Male,33.0,16.0,1.0,highly_educated,1.0,4.0,1,4.0,2,2.0,3.0,8.0,7.0,5.0,5.0,8.0,8.0
16537,Male,68.0,14.0,6.0,highly_educated,1.0,5.0,1,5.0,2,7.0,4.0,6.0,7.0,4.0,6.0,6.0,5.0
16538,Female,77.0,6.0,6.0,mid_educated,1.0,1.0,2,66.0,6,5.0,6.0,8.0,7.0,5.0,5.0,5.0,7.0
16539,Male,77.0,17.0,6.0,highly_educated,1.0,2.0,1,2.0,2,3.0,7.0,8.0,8.0,7.0,7.0,8.0,8.0
16540,Female,73.0,4.0,6.0,lower_educated,1.0,1.0,2,66.0,6,3.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0
16541,Male,67.0,3.0,6.0,lower_educated,1.0,17.0,2,66.0,6,6.0,8.0,8.0,8.0,6.0,6.0,6.0,8.0
16542,Female,75.0,7.0,6.0,mid_educated,1.0,1.0,1,1.0,2,7.0,5.0,7.0,7.0,6.0,6.0,6.0,6.0
16543,Male,48.0,17.0,1.0,highly_educated,1.0,1.0,1,1.0,2,7.0,8.0,6.0,8.0,4.0,6.0,6.0,8.0
16544,Male,33.0,4.0,8.0,lower_educated,1.0,8.0,1,2.0,2,4.0,3.0,10.0,8.0,5.0,3.0,5.0,5.0
16545,Female,78.0,3.0,8.0,lower_educated,1.0,4.0,2,66.0,6,5.0,5.0,5.0,7.0,6.0,6.0,5.0,5.0
16546,Male,54.0,14.0,1.0,highly_educated,1.0,2.0,1,2.0,2,3.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0
16547,Male,64.0,16.0,1.0,highly_educated,1.0,17.0,1,17.0,1,6.0,2.0,3.0,5.0,2.0,3.0,0.0,5.0
16548,Male,31.0,15.0,1.0,highly_educated,1.0,16.0,8,66.0,6,7.0,6.0,7.0,6.0,2.0,2.0,3.0,2.0
16549,Male,21.0,4.0,2.0,lower_educated,1.0,8.0,2,66.0,6,4.0,9.0,,8.0,7.0,7.0,5.0,5.0
16550,Female,47.0,17.0,8.0,highly_educated,2.0,,2,66.0,6,5.0,6.0,7.0,7.0,2.0,3.0,,
16551,Female,33.0,13.0,1.0,highly_educated,1.0,,2,66.0,6,4.0,7.0,9.0,9.0,7.0,8.0,9.0,9.0
16552,Male,50.0,14.0,1.0,highly_educated,1.0,1.0,1,1.0,3,7.0,8.0,9.0,9.0,8.0,8.0,7.0,7.0
16553,Male,78.0,8.0,8.0,mid_educated,1.0,1.0,1,18.0,1,9.0,6.0,7.0,6.0,4.0,3.0,7.0,7.0
16554,Male,39.0,17.0,1.0,highly_educated,1.0,5.0,1,5.0,1,5.0,8.0,,9.0,8.0,7.0,7.0,7.0
16555,Male,38.0,14.0,1.0,highly_educated,2.0,,2,66.0,6,3.0,8.0,9.0,9.0,8.0,6.0,8.0,9.0
16556,Male,38.0,15.0,8.0,highly_educated,1.0,6.0,2,66.0,6,4.0,8.0,9.0,7.0,7.0,7.0,7.0,8.0
16557,Male,52.0,17.0,1.0,highly_educated,1.0,10.0,1,18.0,1,5.0,6.0,8.0,7.0,8.0,6.0,6.0,9.0
16558,Female,67.0,5.0,8.0,lower_educated,1.0,17.0,1,17.0,2,4.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0
16559,Female,79.0,3.0,8.0,lower_educated,2.0,,2,66.0,6,4.0,7.0,5.0,7.0,5.0,5.0,6.0,5.0
16560,Male,52.0,9.0,,mid_educated,1.0,,2,66.0,6,,2.0,6.0,6.0,2.0,2.0,0.0,5.0
16561,Female,48.0,16.0,1.0,highly_educated,1.0,7.0,1,7.0,2,2.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0
16562,Female,32.0,9.0,1.0,mid_educated,1.0,9.0,1,9.0,1,3.0,7.0,7.0,9.0,6.0,4.0,6.0,6.0
16563,Female,75.0,17.0,6.0,highly_educated,1.0,4.0,1,4.0,1,1.0,6.0,7.0,7.0,5.0,5.0,6.0,7.0
16564,Male,57.0,17.0,5.0,highly_educated,1.0,,1,6.0,3,5.0,1.0,5.0,3.0,2.0,2.0,4.0,1.0
16565,Female,18.0,10.0,2.0,mid_educated,2.0,,2,66.0,6,3.0,4.0,6.0,5.0,4.0,5.0,6.0,4.0
16566,Male,64.0,3.0,6.0,lower_educated,1.0,3.0,1,17.0,2,8.0,7.0,3.0,7.0,2.0,5.0,0.0,0.0
16567,Female,40.0,10.0,1.0,mid_educated,2.0,,2,66.0,6,5.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0
16568,Male,42.0,17.0,1.0,highly_educated,1.0,1.0,1,1.0,3,6.0,7.0,8.0,7.0,6.0,7.0,6.0,5.0
16569,Male,76.0,3.0,6.0,lower_educated,1.0,3.0,1,3.0,2,10.0,0.0,6.0,9.0,0.0,0.0,0.0,10.0
16570,Female,23.0,10.0,1.0,mid_educated,1.0,31.0,2,66.0,6,3.0,2.0,8.0,8.0,5.0,5.0,5.0,7.0
16571,Male,46.0,17.0,1.0,highly_educated,1.0,15.0,1,2.0,2,5.0,6.0,8.0,7.0,6.0,6.0,5.0,7.0
